"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
-0.0723123212663894,0.472293371882766,-0.322373414310792,0.0404691156453022,0.0182882117399613,-0.287971434146298,-0.160089178657976,-0.633010223416548,0.3797378661112,0.109251351714635
-0.000919986111201532,-0.000713624380414557,-0.000537769272422968,-0.00356628829102402,0.640447876937855,-0.0107370919166599,-0.00974115750015216,0.0188608277643183,0.00292781034490469,0.0275692638514802
0.000321386816819177,-0.00504031553317492,0.00347903173747222,-0.0743463882191833,-0.1168022815842,-0.0838652599310701,-0.673933166896301,0.164877193874801,-0.00916132096391401,-0.0231603821867781
-0.000995170555996056,0.00880826948102123,-0.00530671866892198,0.00265543295599961,-0.746077983152356,0.0124796706871776,0.201673155789855,-0.0885627376551902,-0.0156016491373601,0.00391257058354499
-0.0652055357861634,0.475295967022444,-0.321151423123037,0.0247971859293273,-0.0220145536277452,0.209071322468626,0.136863087027804,0.613958312952723,0.424425829403033,-0.213789664574789
-0.0503040142526728,-0.00336936042078055,0.00659344031226793,-0.00298697228026285,0.0175495507872394,0.783256172298941,-0.198612981390514,-0.379695743403209,0.00487804831546479,-0.446204674506071
0.000828718553963473,0.00219143729703673,-0.00300136884395204,0.074665258244452,0.133179239185678,0.0698424025431419,0.639969858636741,-0.198408230806924,0.0108347916786179,-0.0289024032238021
0.051592571552285,0.000377151599150543,-0.00213515120854778,0.00144612566896654,0.0162260243798133,-0.488153736958824,0.0459190447596528,-0.0315363688922529,-0.152085789559594,-0.855040959992053
-0.0688434832613847,0.472135861147147,-0.321988497704766,0.0280470819012478,0.0140184184925167,0.0733827095500678,-0.000501108921111978,0.0255027001343103,-0.807448772934285,0.0974810745698843
-0.0136507440554717,0.0480855553964342,-0.0247056119750589,-0.992838306029878,0.0150291246955944,0.00359489708701252,0.0968191772526246,-0.0360599314705656,0.00441527428034569,0.00127267102172617
-0.960170127122915,-0.233352706822649,-0.137035215975359,0.00555704135462883,-0.0011186085550358,-0.0601767045253023,0.0134500853642236,0.0215306853448968,-0.0072230690395907,-0.0221439154453185
0.241809452221627,-0.52080220806495,-0.818397177521757,-0.00829816652298205,-0.000815755126261752,0.0193850827338295,-0.00385758019274477,-0.00511523849215142,0.00308079654944574,0.00477591239584351
